,f1,acc,prec,kappa,recall
bolton,0.537688442,0.866955893,0.384892086,0.47392054,0.891666667
kai,0.43220339,0.806218366,0.289772727,0.347797627,0.85
bostonma,0.390946502,0.785972523,0.259562842,0.299384903,0.791666667
lettuce,0.490654206,0.842371656,0.340909091,0.417969745,0.875
champaign,0.448801743,0.817064353,0.303834808,0.367770857,0.858333333
chdk,0.454545455,0.826464208,0.3125,0.375761679,0.833333333
niemcy,0.516587678,0.852494577,0.360927152,0.448040286,0.908333333
vantage,0.47597254,0.834417932,0.32807571,0.400506539,0.866666667
varsity,0.466063348,0.829356471,0.319875776,0.388793384,0.858333333
em,0.437367304,0.808387563,0.293447293,0.35379871,0.858333333
airme,0.383561644,0.772234273,0.250639386,0.289175735,0.816666667
listedbuilding,0.482300885,0.830802603,0.328313253,0.406672827,0.908333333
trentino,0.5,0.846710051,0.348684211,0.428948722,0.883333333
sampa,0.543209877,0.866232827,0.385964912,0.4796681,0.916666667
tomatoes,0.425531915,0.804772234,0.285714286,0.340276674,0.833333333
worldwidelandscapes,0.684057971,0.921185828,0.524444444,0.643737814,0.983333333
hotdog,0.397660819,0.776572668,0.259541985,0.305306433,0.85
gmc,0.425357873,0.79681851,0.281842818,0.338769531,0.866666667
polynesia,0.490909091,0.838033261,0.3375,0.417377567,0.9
reindeer,0.451754386,0.81923355,0.306547619,0.37137278,0.858333333
comfortable,0.45232816,0.821402748,0.3081571,0.372395015,0.85
talent,0.475982533,0.826464208,0.322485207,0.399015742,0.908333333
terminus,0.422413793,0.806218366,0.284883721,0.337131943,0.816666667
treasureisland,0.3984375,0.777295734,0.260204082,0.306265635,0.85
milkyway,0.456521739,0.81923355,0.308823529,0.376555231,0.875
huron,0.457883369,0.818510484,0.309037901,0.377907883,0.883333333
peoplesrepublicofchina,0.465324385,0.827187274,0.318042813,0.387578026,0.866666667
danecounty,0.4360587,0.8054953,0.291316527,0.351881758,0.866666667
tokio,0.42217484,0.804049168,0.283667622,0.336493369,0.825
dreaming,0.485849057,0.842371656,0.338815789,0.412786893,0.858333333
treno,0.474654378,0.835140998,0.328025478,0.399224939,0.858333333
amphitheater,0.488789238,0.835140998,0.334355828,0.414524916,0.908333333
firth,0.570694087,0.879248012,0.412639405,0.512150765,0.925
mickeymouse,0.434607646,0.79681851,0.286472149,0.348899511,0.9
camaro,0.419287212,0.799710774,0.280112045,0.332606866,0.833333333
attic,0.484304933,0.833694866,0.331288344,0.409389169,0.9
sidney,0.493023256,0.842371656,0.341935484,0.420527014,0.883333333
potatoes,0.496385542,0.848879248,0.349152542,0.425519482,0.858333333
foret,0.508083141,0.845986985,0.3514377,0.437524703,0.916666667
jess,0.476190476,0.840925524,0.333333333,0.402075227,0.833333333
modena,0.557544757,0.874909617,0.402214022,0.497051794,0.908333333
voitures,0.4375,0.804772234,0.291666667,0.353335411,0.875
abandonned,0.485393258,0.834417932,0.332307692,0.410706411,0.9
jew,0.52345679,0.860448301,0.371929825,0.457167262,0.883333333
52weeks,0.497584541,0.849602314,0.350340136,0.426966426,0.858333333
funnel,0.43006263,0.802603037,0.286908078,0.344853435,0.858333333
picardie,0.53101737,0.863340564,0.378091873,0.465934793,0.891666667
lissabon,0.533980583,0.861171367,0.376712329,0.46862618,0.916666667
excellence,0.498800959,0.848879248,0.35016835,0.428117785,0.866666667
russland,0.509090909,0.843817787,0.35,0.438185511,0.933333333
maritimes,0.521091811,0.860448301,0.371024735,0.454631826,0.875
panasonicdmctz3,0.511961722,0.852494577,0.359060403,0.443058665,0.891666667
bunting,0.488789238,0.835140998,0.334355828,0.414524916,0.908333333
derwent,0.5,0.843817787,0.346153846,0.428354919,0.9
f22,0.517482517,0.85032538,0.359223301,0.448555034,0.925
walled,0.552631579,0.877078814,0.403846154,0.492356523,0.875
downunder,0.522144522,0.851771511,0.362459547,0.453883004,0.933333333
vereinigtestaaten,0.450526316,0.811279826,0.301408451,0.368642267,0.891666667
fer,0.509259259,0.846710051,0.352564103,0.438940939,0.916666667
rentals,0.488262911,0.842371656,0.339869281,0.415389806,0.866666667
weymouth,0.50952381,0.851048445,0.356666667,0.440124985,0.891666667
sanfran,0.430703625,0.806941432,0.289398281,0.346286825,0.841666667
degree,0.501204819,0.85032538,0.352542373,0.431016904,0.866666667
shanghaiist,0.491803279,0.843094722,0.342019544,0.419358396,0.875
kr,0.449339207,0.81923355,0.305389222,0.36874911,0.85
rules,0.426086957,0.809110629,0.288235294,0.341642324,0.816666667
starsandstripes,0.456375839,0.824295011,0.311926606,0.377328286,0.85
uniforms,0.447311828,0.81417209,0.301449275,0.36563596,0.866666667
speakers,0.422997947,0.79681851,0.280653951,0.336187592,0.858333333
1920,0.464692483,0.830079537,0.31875,0.387911341,0.857142857
moorish,0.511166253,0.857556038,0.362676056,0.443701672,0.865546218
kalt,0.482269504,0.84164859,0.335526316,0.409201474,0.857142857
cerro,0.465631929,0.825741142,0.31626506,0.388117132,0.882352941
nfl,0.447761194,0.812725958,0.3,0.366389718,0.882352941
evanston,0.460176991,0.823571945,0.312312312,0.381799796,0.87394958
crows,0.569974555,0.87780188,0.408759124,0.511345224,0.941176471
panasonictz3,0.47597254,0.834417932,0.327044025,0.400955575,0.87394958
freeport,0.452054795,0.826464208,0.310344828,0.373537272,0.831932773
poker,0.471428571,0.839479393,0.328903654,0.397068469,0.831932773
900,0.498834499,0.844540853,0.34516129,0.427662085,0.899159664
tiki,0.440677966,0.8329718,0.30952381,0.362592701,0.764705882
coucher,0.572890026,0.879248012,0.411764706,0.514805144,0.941176471
