,ndcg
cakes,0.49133376
120n,0.491279551
guernsey,0.491201506
capetown,0.491137213
stockton,0.491129774
1755mm,0.491123291
jean,0.491093854
nantes,0.491087602
cigarette,0.49104153
clifton,0.49096955
carve,0.490936875
blend,0.490933002
catholic,0.490928583
cattle,0.490905446
aluminium,0.49087572
frankfurt,0.490866843
17mm,0.490777802
forsaken,0.490759025
lowangle,0.490756669
urbanphotography,0.490699358
grazing,0.49060988
williamsburg,0.490555709
tail,0.490485802
citypark,0.490458506
computer,0.490451347
bicycles,0.490339155
property,0.490263299
chicks,0.490239622
renewal,0.490225871
balcon,0.490210259
corvette,0.490108062
bmw,0.490067853
competition,0.490047434
crap,0.490008895
tasmania,0.489998491
before,0.489986031
arm,0.489971483
d76,0.489961712
scifi,0.489864801
ghosttown,0.489864044
homer,0.489862596
breeze,0.48981712
botanicalgardens,0.4898005
canonefs1855mmf3556is,0.489790443
effects,0.489734399
aves,0.489683323
shelf,0.489621731
blackbird,0.489619739
movie,0.489532809
edited,0.48940285
bruno,0.489396599
cumberland,0.489364914
guangdong,0.489293047
55200mm,0.489205238
retirement,0.489199626
airline,0.489162879
44,0.489131213
overview,0.489097477
haunted,0.489072187
dan,0.488951367
impact,0.488935311
ant,0.488894383
esplanade,0.488846107
30,0.488811271
andalucia,0.488773952
silverefexpro,0.488642647
bilbao,0.488636564
charcoal,0.488546569
between,0.488490529
atlantic,0.488475359
magasin,0.488463439
airplanes,0.48844423
10faves,0.488398681
brasilien,0.488365782
conceptual,0.488323231
hold,0.488278802
saintpaul,0.488203131
fossil,0.488201937
1770mm,0.488180525
calf,0.488093353
cruiser,0.488052853
teal,0.48803375
over,0.487984441
vessels,0.487951485
belltower,0.487854907
auditorium,0.487832885
juli,0.487830593
firemen,0.487824261
casino,0.48781731
agfa,0.487764091
antrim,0.487743008
preisslermediaservices,0.487734322
highheels,0.487720468
coney,0.487702417
911,0.487658135
alba,0.487652081
jfk,0.487582889
mrt,0.487569483
dancing,0.487490649
katalonien,0.487486018
annapolis,0.487440278
blueskies,0.487376189
5dii,0.48736284
lands,0.487348528
algae,0.487254453
bp,0.487235343
cigar,0.487178644
volcanic,0.487170376
grit,0.487161406
mass,0.487129568
1424mm,0.487040509
alt,0.487021497
citizen,0.487020826
pinhole,0.48698876
dynax,0.486968707
bed,0.486892276
spider,0.486886814
v200,0.48676429
curvy,0.486707682
net,0.486667153
24mm,0.486649578
vodka,0.486524537
konomark,0.486504717
armour,0.486461879
kevin,0.486456718
guadalajara,0.486413785
recording,0.486410922
rockformation,0.486366674
lille,0.486361255
cooling,0.486330871
castello,0.486299362
fourth,0.486219919
aqueduct,0.48619355
barbados,0.486165583
64,0.486054645
belgian,0.485987834
clocks,0.485786591
care,0.485752406
runners,0.48571635
dec,0.485652095
dreaming,0.48563194
rodinal,0.485602307
southpacific,0.485564482
mlb,0.485515388
nero,0.48547786
lancashire,0.485369189
immeuble,0.485344154
cuba,0.48529583
grad,0.485290445
leap,0.485266478
313,0.485241297
orleans,0.485170843
racing,0.485162024
hood,0.485151991
blackandwhitephotography,0.485144374
vizcaya,0.485136716
cityofwestminster,0.485119044
bournemouth,0.485106492
lightbulb,0.485047112
birthday,0.485040849
another,0.485011988
madeira,0.484951641
franklloydwright,0.484868736
bullet,0.484857111
andrews,0.484792704
bureau,0.484789586
1635,0.484781314
sunbeam,0.484766794
cellar,0.484752049
harlem,0.4846977
sanluisobispo,0.484686081
cantabria,0.484678529
vineyard,0.484652649
middleton,0.484644281
last,0.484638184
suffolk,0.484621839
brasile,0.484605895
