,acc,f1,kappa,prec,recalls
recreated,0.722921734,0.177532385,0.107164425,0.102652259,0.656200942
vampires,0.766847904,0.218277764,0.152864459,0.128822197,0.714285714
yea,0.694090714,0.162881754,0.090309278,0.093044062,0.653061224
drained,0.649592216,0.146392471,0.071130823,0.082336797,0.659340659
weaving,0.649306052,0.143006993,0.067592022,0.080448466,0.643081761
kubrick,0.687580484,0.167714885,0.095371939,0.095423986,0.691823899
aimless,0.593861783,0.134735559,0.057262408,0.074599156,0.694968553
capitalize,0.654957791,0.133644692,0.057690942,0.075441087,0.58490566
persuade,0.658892545,0.141210375,0.065948447,0.079739626,0.616352201
unknowingly,0.63328087,0.13470628,0.05820382,0.075453858,0.627358491
perceptions,0.654600086,0.152089919,0.077520612,0.085606959,0.68081761
clutches,0.680426384,0.154137474,0.080543397,0.087621098,0.639937107
stint,0.630991558,0.133982539,0.057362238,0.075,0.627358491
stabbed,0.714336815,0.183268562,0.113056211,0.105337409,0.704402516
decently,0.683288024,0.156279779,0.082942884,0.088917805,0.644654088
sdh,0.695593075,0.161906638,0.089424382,0.092546724,0.646226415
veneer,0.627342968,0.138865928,0.062525234,0.077590985,0.660377358
doo,0.693017599,0.169537449,0.097520446,0.096667402,0.688679245
graces,0.61453713,0.133483435,0.056398442,0.074346113,0.652515723
terminal,0.637501789,0.1424945,0.06681987,0.079825559,0.662992126
smarts,0.689440549,0.161807299,0.089201119,0.092209507,0.65984252
kidnap,0.667763629,0.160823997,0.087424006,0.090834864,0.700787402
